,Date,Close Price,Open Price,High Price,Low Price,Total Traded Quantity,Month,Year,Day_Perc_Change,Trend
170,2019-02-22,1631.56,1623.5,1634.94,1621.17,3.1,2,2019,-0.0008818126148193439,Slight or No change
171,2019-02-21,1619.44,1619.85,1623.56,1600.91,3.48,2,2019,-0.00742847336291641,Slight or No change
172,2019-02-20,1622.1,1630.0,1634.93,1610.12,3.34,2,2019,0.0016425431013189495,Slight or No change
173,2019-02-19,1627.58,1601.0,1634.0,1600.56,3.68,2,2019,0.0033783367239996753,Slight or No change
174,2019-02-15,1607.95,1627.86,1628.91,1604.5,4.34,2,2019,-0.01206085107951671,Slight or No change
175,2019-02-14,1622.65,1624.5,1637.9,1606.06,4.12,2,2019,0.009142075313287146,Slight or No change
176,2019-02-13,1640.0,1647.0,1656.38,1637.11,3.56,2,2019,0.01069238591193411,Slight or No change
177,2019-02-12,1638.01,1604.0,1639.39,1598.88,4.86,2,2019,-0.0012134146341463703,Slight or No change
178,2019-02-11,1591.0,1600.98,1609.29,1586.0,3.32,2,2019,-0.028699458489264362,Slight or No change
179,2019-02-08,1588.22,1586.0,1588.59,1566.76,5.66,2,2019,-0.0017473287240729052,Slight or No change
180,2019-02-07,1614.37,1625.0,1625.54,1592.91,4.63,2,2019,0.016464973366410174,Slight or No change
181,2019-02-06,1640.26,1670.75,1672.26,1633.34,3.94,2,2019,0.016037215755991596,Slight or No change
182,2019-02-05,1658.81,1643.34,1665.26,1642.5,4.45,2,2019,0.011309182690548925,Slight or No change
183,2019-02-04,1633.31,1623.0,1649.63,1613.5,4.93,2,2019,-0.01537246580379914,Slight or No change
184,2019-02-01,1626.23,1638.88,1673.06,1622.01,11.51,2,2019,-0.004334755802633872,Slight or No change
185,2019-01-31,1718.73,1692.85,1736.41,1679.08,10.91,1,2019,0.05688002312096074,Slight or No change
186,2019-01-30,1670.43,1623.0,1676.95,1619.68,5.78,1,2019,-0.02810214518859855,Slight or No change
187,2019-01-29,1593.88,1631.27,1632.38,1590.72,4.63,1,2019,-0.04582652370946405,Slight or No change
188,2019-01-28,1637.89,1643.59,1645.0,1614.09,4.84,1,2019,0.027611865385098078,Slight or No change
189,2019-01-25,1670.57,1670.5,1683.48,1661.61,4.96,1,2019,0.019952499862627926,Slight or No change
190,2019-01-24,1654.93,1641.07,1657.26,1631.78,4.09,1,2019,-0.009362074022638889,Slight or No change
191,2019-01-23,1640.02,1656.0,1657.43,1612.0,5.23,1,2019,-0.009009444508226938,Slight or No change
192,2019-01-22,1632.17,1681.0,1681.87,1610.2,6.42,1,2019,-0.004786526993573181,Slight or No change
193,2019-01-18,1696.2,1712.0,1716.2,1691.54,6.02,1,2019,0.03922998217097473,Slight or No change
194,2019-01-17,1693.22,1680.0,1700.17,1677.5,4.21,1,2019,-0.001756868293833258,Slight or No change
195,2019-01-16,1683.78,1684.22,1705.0,1675.88,6.37,1,2019,-0.0055751762913266445,Slight or No change
196,2019-01-15,1674.56,1632.0,1675.16,1626.01,6.0,1,2019,-0.005475774744919226,Slight or No change
197,2019-01-14,1617.21,1615.0,1648.2,1595.15,6.01,1,2019,-0.03424780240779657,Slight or No change
198,2019-01-11,1640.56,1640.55,1660.29,1636.22,4.69,1,2019,0.014438446460261822,Slight or No change
199,2019-01-10,1656.22,1641.01,1663.25,1621.62,6.51,1,2019,0.009545521041595562,Slight or No change
